,,V1,newColName,
1,1,ID,id,
2,2,Время.создания,dateSurvey,
3,3,Кем.Вы.работаете....Руководитель.врачами.или.сестрами.занимающимися.рентгенэндоваскулярными.процедурами,jobChief,
4,4,Кем.Вы.работаете....Врач.специалист.по.рентгенэндоваскулярным.диагностике.и.лечению..включая.эндоваскулярную.аритмологию.,jobDoctor,
5,5,Кем.Вы.работаете....Медицинская.сестра..любая..в.рентгеноперационной,jobNurse,
6,6,Кем.Вы.работаете....Не.имею.отношения.к.рентгеноперационной,jobOther,
7,7,Заполняете.ли.Вы.эту.анкету.впервые.,firstTime,
8,8,Ваш.пол,sex,
9,9,Ваш.возраст,age,
10,10,Ваш.стаж.в.рентгеноперационной..включая.те.времена..когда.официально.нашей.специальности.не.было.,experience,
11,11,Ученая.степень,degree,
12,12,Количество.подчиненных..0...если.не.заведующий.,fellowsNumber,
13,13,Используете.ли.вы.свои.способности.в.полной.мере.в.своей.повседневной.работе.большую.часть.времени.,talentUseFull,
14,14,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.самостоятельно.пробую.новые.способы.выполнения.работы.,ideaGen1,
15,15,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.предпочитаю.работу..которая.требует.оригинального.мышления.,ideaGen2,
16,16,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Когда.что.то.не.функционирует.на.работе..я.стараюсь.найти.новое.решение.,ideaGen3,
17,17,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.стараюсь.получать.новое.от.коллег,ideaSearch1,
18,18,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Мне.интересно..как.дела.обстоят.в.других.местах..чтобы.использовать.полученную.информацию.в.своей.работе.,ideaSearch2,
19,19,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.ищу.новшества.у.других.людей..чтобы.попробовать.внедрить.лучшие.из.них.,ideaSearch3,
20,20,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Когда.у.меня.появляется.новая.идея..я.стараюсь.убедить.в.ней.своих.коллег.,ideaCommunication1,
21,21,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Когда.у.меня.появляется.новая.идея..я.стараюсь.заручиться.поддержкой.руководства.,ideaCommunication2,
22,22,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.стараюсь.показывать.коллегам.положительные.стороны.новшеств.,ideaCommunication3,
23,23,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Когда.у.меня.появляется.идея.новшества..я.стараюсь.привлечь.людей..которые.могут.сотрудничать.над.её.реализацией.,ideaCommunication4,
24,24,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.разрабатываю.подходящие.планы.и.графики.для.реализации.новшеств.на.работе.,ideaImplementationStart1,
25,25,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.ищу.и.обеспечиваю.финансирование..необходимое.для.реализации.новшеств.на.работе.,ideaImplementationStart2,
26,26,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Для.реализации.новых.идей.я.ищу.новые.технологии..процессы.или.процедуры.,ideaImplementationStart3,
27,27,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Когда.во.время.реализации.возникают.проблемы..я.передаю.их.тем..кто.может.их.решить.,ideaInvolvingOthers1,
28,28,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.стараюсь.вовлечь.ключевых.лиц..принимающих.решения..в.реализацию.идеи.,ideaInvolvingOthers2,
29,29,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Когда.у.меня.появляется.новая.идея..я.ищу.людей..которые.могут.её.продвинуть.,ideaInvolvingOthers3,
30,30,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.способен.настойчиво.преодолевать.препятствия.при.реализации.идеи.,overcomingObstacles1,
31,31,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.не.сдаюсь..даже.если.другие.говорят..что.это.невозможно.,overcomingObstacles2,
32,32,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Я.обычно.не.останавливаюсь..пока.не.достигну.цели.,overcomingObstacles3,
33,33,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Во.время.реализации.идеи.я.способен.настойчиво.продолжать..даже.если.работа.идёт.плохо.в.данный.момент.,overcomingObstacles4,
34,34,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Мне.часто.удавалось.успешно.реализовывать.новшества.на.практике.,innovationOutput1,
35,35,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Многие.новшества..которые.я.придумал.или.внедрил..используются.в.нашей.организации.,innovationOutput2,
36,36,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Где.бы.я.ни.работал..я.всегда.что.то.улучшал.,innovationOutput3,
37,37,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...В.целом..вы.бы.сказали..что.вы.удовлетворены.своей.работой.,jobSatisfaction,
38,38,У.меня.есть.желание.использовать.максимум.своих.способностей.на.работе,talentUseWish,
39,39,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Мой.непосредственный.руководитель.мотивирует.меня.приходить.к.нему.ней.с.идеями.нововвведений.,supportManagerial1,
40,40,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Мой.непосредственный.руководитель.всегда.финансово.вознаграждает.за.хорошие.идеи.и.новшества.,supportManagerial2,
41,41,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Мой.непосредственный.руководитель.поддерживает.меня.в.реализации.хороших.идей.как.можно.скорее.,supportManagerial3,
42,42,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Мой.непосредственный.руководитель.терпим.к.ошибкам.и.промахам.во.время.реализации.чего.то.нового.,supportManagerial4,
43,43,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Мой.непосредственный.руководитель.способен.получить.поддержку.для.моего.предложения.и.за.пределами.нашего.отдела.,supportManagerial5,
44,44,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Система.вознаграждений.в.нашей.организации.мотивирует.сотрудников.предлагать.новшества.,supportOrganizational1,
45,45,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Наша.организация.выделяет.достаточные.ресурсы.для.поддержки.реализации.новшеств.,supportOrganizational2,
46,46,Пожалуйста..ответьте.согласны.ли.Вы.с.этими.утверждениями...Наша.организация.предоставляет.сотрудникам.время.для.внедрения.идей.и.новшеств.,supportOrganizational3,
47,47,Как.вы.считаете..что.из.этого.ближе.к.истине.люди.могут.разбогатеть.только.за.счёт.других.или.богатство.может.расти..чтобы.хватило.на.всех....Ваш.ответ,zeroSumMindset,
48,48,У.меня.есть.все.условия.и.возможности.для.полной.реализации.своих.способностей,talentUseOpportunity,
49,49,Когда.я.внедряю.что.то.новое..это.дает.мне...Чувство.уважения.себя.за.то..кем.являюсь..а.не.только.за.то..что.сделал,satisfyValueSefRespect,
50,50,Когда.я.внедряю.что.то.новое..это.дает.мне...Чувство.безопасности..защищенности.и.уверенности..свободы.от.угроз..в.том.числе.физической..финансовой..эмоциональной.,satisfyValueSafety,
51,51,Когда.я.внедряю.что.то.новое..это.дает.мне...Теплые.индивидуальные.личные.эмоциональные.отношения.с.другими..связи..чувство.близости..дружбы..заботы.и.взаимной.поддержки.,satisfyValueWarmRelations,
52,52,Когда.я.внедряю.что.то.новое..это.дает.мне...Чувство.что.я.самореализуюсь.и.доволен.своей.наполненной.смыслом.жизнью,satisfyValueFulfillment,
53,53,Когда.я.внедряю.что.то.новое..это.дает.мне...Радость.от.чувства.достижения.цели.или.преодоления.трудности,satisfyValueAccomplishment,
54,54,Когда.я.внедряю.что.то.новое..это.дает.мне...Уважение.коллег..они.ценят.мои.навыки..профессионализм..вклад.в.работу..признают.компетентность..ответственность..честность,satisfyValueBeingRespected,
55,55,Когда.я.внедряю.что.то.новое..это.дает.мне...Ощущение.себя.частью.команды..где.меня.ценят.и.принимают.не.только.за.профессиональные.качества,satisfyValueBelonging,
56,56,Когда.я.внедряю.что.то.новое..это.дает.мне...Чувство.веселья..радости.и.наслаждения.жизнью,satisfyValueJoy,
57,57,Выберите.главное..чего.бы.Вы.хотели.получить.еще.больше.за.Ваши.новшества,wantValueMore,
58,58,Ваши.комментарии..вопросы..просьбы..контактные.данные.по.желанию,comment,